"date","open","high","low","close","volume","adjusted"
2010-01-04,12.2303,12.4608,12.2207,12.4608,91911560,7.093935
2010-01-05,12.4608,12.6002,12.4512,12.5473,48280066,7.143181
2010-01-06,12.5473,12.6482,12.4945,12.5954,12069849,7.170565
2010-01-07,12.5954,12.605,12.4032,12.5377,21497190,7.137715
2010-01-08,12.5377,12.6962,12.5185,12.6338,44302416,7.192424
2010-01-11,12.6338,12.7491,12.5185,12.5473,42657632,7.143181
2010-01-12,12.5473,12.653,12.4801,12.5425,31361472,7.140447
2010-01-13,12.5425,12.5809,12.408,12.4416,37275170,7.083004
2010-01-14,12.4416,12.5521,12.3504,12.4608,25719626,7.093935
2010-01-15,12.4608,12.6146,12.2399,12.3071,37230305,7.006435
2010-01-18,12.3071,12.384,12.187,12.3071,11087206,7.006435
2010-01-19,12.3071,12.4897,12.1294,12.4224,60193891,7.072073
2010-01-20,12.4128,12.4128,11.9901,12.0862,36319015,6.880677
2010-01-21,12.0862,12.1774,11.6875,11.7211,48413617,6.672821
2010-01-22,11.6875,11.6875,11.3608,11.673,48121048,6.64544
2010-01-25,11.673,11.7067,11.4088,11.4521,29856894,6.519683
2010-01-26,11.4521,11.6394,11.2984,11.5577,81774025,6.5798
2010-01-27,11.2119,11.2119,10.7123,10.8228,115545544,6.161422
2010-01-28,10.8228,10.9909,10.5153,10.5442,73474091,6.002816
2010-01-29,10.5442,10.7363,10.4913,10.6643,43074888,6.071187
2010-02-01,10.6643,10.7507,10.5105,10.6787,37063671,6.079385
2010-02-02,10.6787,10.89,10.6354,10.7988,59594985,6.147759
2010-02-03,10.7988,10.866,10.3088,10.3472,73400998,5.890663
2010-02-04,10.3472,10.4145,9.51617,9.56709,106038312,5.446546
2010-02-05,9.51905,9.51905,9.13283,9.29136,80797149,5.289572
2010-02-08,9.29136,9.44892,9.05021,9.34516,40055936,5.3202
2010-02-09,9.34516,9.56901,9.23275,9.44315,57244569,5.375988
2010-02-10,9.62665,9.91488,9.62665,9.76116,62567431,5.557029
2010-02-11,9.76116,9.91488,9.4249,9.59783,50520064,5.464046
2010-02-12,9.59783,9.72273,9.398,9.55172,31950109,5.437795
2010-02-15,9.55172,9.73714,9.51137,9.60744,64823724,5.469518
2010-02-16,9.60744,9.82841,9.51617,9.70351,31598371,5.524209
2010-02-17,9.70351,9.8188,9.66028,9.75155,35448749,5.551559
2010-02-18,9.75155,9.8092,9.61705,9.77557,40482804,5.565235
2010-02-19,9.77557,9.82361,9.5498,9.8188,35363021,5.589844
2010-02-22,9.8188,9.90527,9.64587,9.71793,28707239,5.532419
2010-02-23,9.71793,9.78998,9.26638,9.36918,41990349,5.333875
2010-02-24,9.36725,9.36725,8.99256,9.20393,47752517,5.239799
2010-02-25,9.20393,9.20393,8.93876,9.01754,34424321,5.133687
2010-02-26,9.01754,9.17511,8.89169,9.17511,52921203,5.223392
2010-03-01,9.17511,9.36725,9.05693,9.20681,30049664,5.241438
2010-03-02,9.20681,9.36725,9.02811,9.35573,38123143,5.326218
2010-03-03,9.35573,9.56421,9.22602,9.5277,39780610,5.424121
2010-03-04,9.5277,9.78998,9.41337,9.66508,45803152,5.502331
2010-03-05,9.66508,10.0878,9.62665,10.0494,52839399,5.721125
2010-03-08,10.0926,10.2511,10.0926,10.1935,33714813,5.803162
2010-03-09,10.1935,10.2271,9.96772,10.0974,31181979,5.748453
2010-03-10,10.0974,10.2704,10.059,10.2319,78446332,5.825022
2010-03-11,10.2319,10.28,10.059,10.1551,24753943,5.7813
2010-03-12,10.1551,10.2896,10.1262,10.1647,21528572,5.786765
2010-03-15,10.1455,10.1455,10.0062,10.059,34872557,5.726592
2010-03-16,10.059,10.1935,9.97252,10.1695,30467498,5.789497
2010-03-17,10.1695,10.2511,10.1118,10.2319,46893516,5.825022
2010-03-18,10.1647,10.1647,9.97252,10.0494,57437523,5.721125
2010-03-19,10.0494,10.1503,9.85723,9.92449,145716930,5.650014
2010-03-22,9.84282,9.84282,9.57862,9.78518,62389561,5.570705
2010-03-23,9.82841,9.97252,9.76116,9.95811,77182115,5.669155
2010-03-24,9.95811,10.0206,9.61705,9.82361,60513593,5.592583
2010-03-25,9.82361,10.059,9.74194,10.0542,24824954,5.723857
2010-03-26,10.0542,10.107,9.9437,10.0254,41419835,5.707462
2010-03-29,10.0254,10.1455,9.87645,9.98213,65637726,5.682828
2010-03-30,10.0254,10.059,9.78037,9.8188,132349872,5.589844
2010-03-31,9.8188,9.85723,9.61705,9.73234,116452302,5.540622
2010-04-01,9.77077,9.97252,9.77077,9.97252,227032783,5.677358
2010-04-06,9.97252,10.1262,9.90527,10.1262,205028271,5.764847
2010-04-07,10.1262,10.4385,10.0878,10.4337,194714282,5.939908
