"date","open","high","low","close","volume","adjusted"
2011-01-24,3.25,3.42,3.25,3.31,6121476,2.684766
2011-01-25,3.35,3.379,3.185,3.21,8419461,2.603655
2011-01-26,3.21,3.25,3.163,3.174,10966562,2.574455
2011-01-27,3.2,3.242,3.13,3.13,20280100,2.538766
2011-01-28,3.1,3.127,3.03,3.04,33814173,2.465767
2011-01-31,3,3.031,2.91,3,6031079,2.433322
2011-02-01,3.02,3.105,3.001,3.035,13601617,2.461712
2011-02-02,3.15,3.15,2.93,3.026,18260026,2.454412
2011-02-03,3.09,3.09,2.965,3.078,11012970,2.496589
2011-02-04,3.077,3.107,3.021,3.06,23457142,2.481989
2011-02-07,3.105,3.22,3.07,3.22,18549032,2.611766
2011-02-08,3.18,3.21,3.133,3.15,13163035,2.554989
2011-02-09,3.162,3.17,3.042,3.045,8300719,2.469822
2011-02-10,3,3,2.86,2.965,7246985,2.404934
2011-02-11,2.975,2.98,2.891,2.928,14226967,2.374923
2011-02-14,2.992,2.992,2.883,2.909,5324968,2.359512
2011-02-15,2.91,2.96,2.87,2.96,2958552,2.400878
2011-02-16,2.985,3.03,2.964,3.03,6513305,2.457656
2011-02-17,3.018,3.034,2.967,2.979,3601088,2.41629
2011-02-18,2.97,3.009,2.935,2.937,1571731,2.382223
2011-02-21,2.969,2.969,2.85,2.858,8766842,2.318146
2011-02-22,2.81,2.834,2.719,2.811,6308118,2.280024
2011-02-23,2.76,2.81,2.735,2.752,2671919,2.232168
2011-02-24,2.712,2.715,2.622,2.647,5335353,2.147002
2011-02-25,2.641,2.727,2.623,2.623,26600152,2.127535
2011-02-28,2.67,2.671,2.61,2.638,5445369,2.139702
2011-03-01,2.65,2.724,2.611,2.649,3103535,2.148624
2011-03-02,2.63,2.699,2.583,2.664,4473239,2.16079
2011-03-03,2.7,2.744,2.675,2.707,2267608,2.195668
2011-03-04,2.68,2.75,2.621,2.621,1968742,2.125913
2011-03-07,2.646,2.71,2.611,2.659,1538654,2.156735
2011-03-08,2.71,2.71,2.636,2.65,2179927,2.149435
2011-03-09,2.7,2.771,2.693,2.732,4539366,2.215946
2011-03-10,2.729,2.729,2.67,2.704,3239442,2.193234
2011-03-11,2.7,2.72,2.65,2.72,1403212,2.206213
2011-03-14,2.662,2.72,2.659,2.68,1649062,2.173768
2011-03-15,2.62,2.63,2.53,2.56,3238987,2.076436
2011-03-16,2.59,2.592,2.432,2.46,2284980,1.995324
2011-03-17,2.48,2.527,2.442,2.527,1585636,2.049669
2011-03-18,2.53,2.575,2.45,2.45,4944595,1.987213
2011-03-21,2.495,2.56,2.493,2.555,2057161,2.07238
2011-03-22,2.58,2.59,2.533,2.56,2852139,2.076436
2011-03-23,2.535,2.547,2.482,2.499,2557586,2.026958
2011-03-24,2.48,2.57,2.451,2.57,47573103,2.084546
2011-03-25,2.571,2.64,2.552,2.606,2880519,2.113746
2011-03-28,2.63,2.648,2.596,2.621,3311140,2.125913
2011-03-29,2.628,2.628,2.582,2.608,3742236,2.115369
2011-03-30,2.625,2.679,2.62,2.646,4543100,2.14619
2011-03-31,2.65,2.666,2.551,2.597,26301070,2.106446
2011-04-01,2.667,2.669,2.54,2.581,5121842,2.093469
2011-04-04,2.588,2.588,2.54,2.54,4610525,2.060213
2011-04-05,2.55,2.55,2.511,2.526,4346357,2.048857
2011-04-06,2.538,2.563,2.507,2.551,6198388,2.069135
2011-04-07,2.539,2.584,2.539,2.549,2434466,2.067513
2011-04-08,2.544,2.561,2.46,2.46,5736350,1.995324
2011-04-11,2.465,2.492,2.438,2.438,6326367,1.97748
2011-04-12,2.425,2.534,2.42,2.533,7277368,2.054535
2011-04-13,2.547,2.57,2.511,2.544,10894240,2.063457
2011-04-14,2.54,2.56,2.51,2.555,3279711,2.07238
2011-04-15,2.563,2.563,2.53,2.547,9983246,2.065891
2011-04-18,2.534,2.547,2.46,2.475,5540750,2.007491
2011-04-19,2.482,2.547,2.465,2.53,2262982,2.052102
2011-04-20,2.549,2.559,2.522,2.525,3330162,2.048047
2011-04-21,2.549,2.549,2.496,2.505,3311282,2.031824
2011-04-26,2.495,2.59,2.493,2.59,3089032,2.100768
2011-04-27,2.606,2.709,2.601,2.705,6194340,2.194046
2011-04-28,2.71,2.72,2.653,2.676,4017608,2.170524
2011-04-29,2.698,2.7,2.67,2.692,1946864,2.183501
2011-05-02,2.73,2.789,2.72,2.78,3143294,2.254879
2011-05-03,2.8,2.8,2.661,2.665,13495395,2.161601
2011-05-04,2.685,2.695,2.64,2.67,3287553,2.165657
2011-05-05,2.699,2.77,2.652,2.77,8856066,2.246768
