"date","open","high","low","close","volume","adjusted"
2010-01-04,6.67,6.738,6.668,6.73,54562152,4.150615
2010-01-05,6.73,6.765,6.706,6.738,49771770,4.155549
2010-01-06,6.738,6.755,6.692,6.729,74853928,4.149998
2010-01-07,6.7,6.71,6.646,6.686,31801530,4.123479
2010-01-08,6.686,6.725,6.621,6.679,28424080,4.119162
2010-01-11,6.679,6.779,6.66,6.68,45515980,4.119778
2010-01-12,6.68,6.73,6.63,6.675,38584884,4.116696
2010-01-13,6.675,6.715,6.648,6.676,21095036,4.117312
2010-01-14,6.676,6.72,6.66,6.667,23792632,4.111761
2010-01-15,6.667,6.723,6.567,6.58,45078312,4.058106
2010-01-18,6.58,6.615,6.551,6.613,23246328,4.078458
2010-01-19,6.613,6.678,6.562,6.653,24938412,4.103127
2010-01-20,6.653,6.674,6.487,6.5,35200416,4.008767
2010-01-21,6.5,6.562,6.4,6.412,48806280,3.954494
2010-01-22,6.378,6.439,6.31,6.352,27963410,3.917491
2010-01-25,6.316,6.344,6.264,6.28,23570870,3.873085
2010-01-26,6.28,6.353,6.222,6.348,28412352,3.915024
2010-01-27,6.297,6.297,6.21,6.263,32249204,3.862601
2010-01-28,6.263,6.299,6.14,6.146,37299984,3.790443
2010-01-29,6.182,6.25,6.138,6.18,20186040,3.811412
2010-02-01,6.145,6.238,6.141,6.201,18602550,3.824363
2010-02-02,6.201,6.275,6.171,6.254,21393158,3.85705
2010-02-03,6.254,6.279,6.171,6.194,22520580,3.820046
2010-02-04,6.194,6.205,5.871,5.902,69193560,3.639961
2010-02-05,5.89,5.89,5.74,5.84,71263984,3.601723
2010-02-08,5.84,5.875,5.75,5.849,53537380,3.607274
2010-02-09,5.849,5.859,5.757,5.839,44005368,3.601106
2010-02-10,5.839,5.94,5.805,5.887,39708216,3.63071
2010-02-11,5.887,5.907,5.75,5.81,38607460,3.58322
2010-02-12,5.81,5.88,5.78,5.81,18134564,3.58322
2010-02-15,5.811,5.88,5.811,5.833,13304647,3.597406
2010-02-16,5.833,5.92,5.812,5.89,20642468,3.63256
2010-02-17,5.931,6.007,5.931,5.964,25952410,3.678198
2010-02-18,5.964,6.018,5.912,6,26089460,3.7004
2010-02-19,6,6.06,5.912,6.06,35201564,3.737403
2010-02-22,6.06,6.14,6,6.024,20378888,3.715201
2010-02-23,6.035,6.059,5.88,5.9,22410800,3.638727
2010-02-24,5.9,5.947,5.825,5.9,25951106,3.638727
2010-02-25,5.9,5.93,5.773,5.813,24799224,3.58507
2010-02-26,5.813,5.927,5.806,5.914,24825018,3.647362
2010-03-01,5.914,6.03,5.892,5.955,20167996,3.672648
2010-03-02,5.955,6.029,5.927,6,20704642,3.7004
2010-03-03,6,6.055,5.94,6.041,21961688,3.725687
2010-03-04,6.041,6.1,5.982,6.07,25793968,3.743571
2010-03-05,6.07,6.19,6.032,6.184,28945372,3.813878
2010-03-08,6.201,6.245,6.18,6.22,16747390,3.836082
2010-03-09,6.22,6.249,6.149,6.187,22775936,3.815728
2010-03-10,6.2,6.259,6.163,6.243,18983160,3.850266
2010-03-11,6.243,6.29,6.222,6.26,73156592,3.86075
2010-03-12,6.26,6.345,6.25,6.271,31211312,3.867534
2010-03-15,6.3,6.3,6.226,6.23,49145768,3.842249
2010-03-16,6.23,6.296,6.211,6.271,23191188,3.867534
2010-03-17,6.271,6.339,6.262,6.308,24953872,3.890354
2010-03-18,6.308,6.328,6.26,6.285,23966544,3.876169
2010-03-19,6.285,6.331,6.22,6.255,70047456,3.857666
2010-03-22,6.255,6.268,6.125,6.205,21508110,3.826831
2010-03-23,6.206,6.315,6.206,6.293,74926424,3.881103
2010-03-24,6.293,6.305,6.155,6.212,30259308,3.831147
2010-03-25,6.212,6.35,6.208,6.333,30178144,3.905773
2010-03-26,6.312,6.35,6.27,6.303,18223070,3.88727
2010-03-29,6.309,6.346,6.3,6.33,21930434,3.903921
2010-03-30,6.33,6.394,6.325,6.325,19678728,3.900838
2010-03-31,6.325,6.352,6.22,6.275,40091656,3.870002
2010-04-01,6.275,6.34,6.264,6.337,18738394,3.90824
2010-04-06,6.368,6.393,6.261,6.34,17647580,3.910089
2010-04-07,6.34,6.397,6.319,6.36,23526728,3.922425
2010-04-08,6.35,6.35,6.251,6.302,19360628,3.886653
2010-04-09,6.314,6.476,6.314,6.467,35176400,3.988414
2010-04-12,6.467,6.53,6.437,6.475,21025842,3.993349
2010-04-13,6.45,6.501,6.41,6.47,18998412,3.990264
2010-04-14,6.47,6.516,6.451,6.475,21097850,3.993349
2010-04-15,6.475,6.546,6.456,6.509,30837872,4.014318
2010-04-16,6.509,6.577,6.417,6.44,42592332,3.971763
2010-04-19,6.44,6.455,6.38,6.429,19300024,3.964978
2010-04-20,6.46,6.505,6.391,6.49,24914744,4.0026
2010-04-21,6.5,6.5,6.352,6.381,26708560,3.935375
2010-04-22,6.346,6.389,6.246,6.291,27742840,3.879869
2010-04-23,6.251,6.353,6.23,6.297,21394820,3.883569
2010-04-26,6.297,6.366,6.224,6.277,30692754,3.871234
2010-04-27,6.277,6.278,6.001,6.029,38644760,3.718286
2010-04-28,6.029,6.03,5.822,5.851,59529916,3.608507
2010-04-29,5.851,5.99,5.835,5.948,37849616,3.66833
2010-04-30,5.948,6.013,5.9,5.99,33474562,3.694232
2010-05-03,5.99,6.017,5.895,5.979,13916970,3.687449
2010-05-04,5.976,5.976,5.575,5.624,83885392,3.468508
2010-05-05,5.624,5.686,5.462,5.482,56794280,3.380933
2010-05-06,5.482,5.598,5.301,5.348,54175648,3.29829
2010-05-07,5.348,5.507,5.029,5.103,60973600,3.147191
2010-05-10,5.455,5.833,5.455,5.833,80212384,3.597406
2010-05-11,5.824,5.824,5.544,5.673,46629088,3.498728
2010-05-12,5.673,5.86,5.561,5.773,48823292,3.560401
2010-05-13,5.773,5.845,5.605,5.683,29085690,3.504895
2010-05-14,5.659,5.659,5.22,5.303,50088080,3.270537
2010-05-17,5.303,5.42,5.185,5.318,64826116,3.279788
2010-05-18,5.356,5.589,5.356,5.504,46497808,3.3945
2010-05-19,5.437,5.437,5.219,5.325,34172860,3.284106
2010-05-20,5.325,5.421,5.12,5.219,42477744,3.218731
2010-05-21,5.219,5.43,5.053,5.3,74334872,3.268687
2010-05-24,5.3,5.398,5.15,5.2,23996050,3.207013
2010-05-25,5.119,5.119,4.965,5.089,55975028,3.138556
2010-05-26,5.13,5.268,5.13,5.165,56631876,3.185428
2010-05-27,5.165,5.453,5.134,5.452,49911676,3.36243
2010-05-28,5.452,5.529,5.376,5.46,66285840,3.367364
2010-05-31,5.365,5.429,5.36,5.392,13312640,3.325426
2010-06-01,5.385,5.385,5.17,5.37,33814300,3.311858
2010-06-02,5.369,5.369,5.16,5.358,23676208,3.304457
2010-06-03,5.38,5.519,5.38,5.388,39764480,3.32296
2010-06-04,5.388,5.419,5.105,5.139,107009584,3.169392
2010-06-07,5.139,5.159,4.982,5.058,106069824,3.119437
2010-06-08,5.058,5.152,4.93,5,48282796,3.083667
2010-06-09,5,5.04,4.905,5.034,40809048,3.104636
2010-06-10,5.034,5.292,4.94,5.269,50433592,3.249568
2010-06-11,5.269,5.42,5.265,5.404,60144800,3.332827
2010-06-14,5.204,5.355,5.122,5.196,59505396,3.321958
2010-06-15,5.196,5.264,5.095,5.255,43910368,3.359679
2010-06-16,5.255,5.295,5.187,5.236,50377848,3.347531
2010-06-17,5.236,5.31,5.211,5.292,58509752,3.383334
2010-06-18,5.269,5.394,5.255,5.375,43716290,3.436398
2010-06-21,5.387,5.5,5.387,5.42,84890392,3.465168
2010-06-22,5.42,5.438,5.276,5.382,49645248,3.440874
2010-06-23,5.382,5.409,5.27,5.326,29524944,3.405071
2010-06-24,5.326,5.37,5.07,5.105,66239192,3.26378
2010-06-25,5.1,5.1,4.901,4.936,66029840,3.155733
2010-06-28,4.936,5.003,4.88,4.945,48041096,3.161487
2010-06-29,4.881,4.881,4.664,4.664,52691276,2.981835
2010-06-30,4.664,4.74,4.568,4.632,59404472,2.961376
2010-07-01,4.535,4.702,4.501,4.643,43846530,3.070425
2010-07-02,4.643,4.786,4.605,4.7,34931760,3.108119
2010-07-05,4.7,4.912,4.649,4.749,54689452,3.140523
2010-07-06,4.81,4.938,4.81,4.894,34806832,3.236412
2010-07-07,4.844,5.08,4.808,5.08,45128752,3.359414
2010-07-08,5.08,5.134,5.039,5.125,40285328,3.389173
2010-07-09,5.125,5.191,5.107,5.158,31063042,3.410995
2010-07-12,5.158,5.185,5.047,5.134,22438436,3.395125
2010-07-13,5.134,5.235,5.13,5.235,54184776,3.461916
2010-07-14,5.235,5.259,5.18,5.238,24289322,3.463899
2010-07-15,5.238,5.268,5.137,5.195,49859612,3.435464
2010-07-16,5.195,5.219,5.011,5.063,34861312,3.348172
2010-07-19,5.063,5.192,4.997,5.076,26436956,3.356769
2010-07-20,5.076,5.175,5.005,5.153,70974160,3.407688
2010-07-21,5.153,5.218,5.118,5.15,48080576,3.405706
2010-07-22,5.15,5.296,5.1,5.273,27232632,3.487046
2010-07-23,5.273,5.321,5.201,5.304,39753724,3.507546
2010-07-26,5.304,5.371,5.237,5.355,25575128,3.541272
2010-07-27,5.355,5.435,5.35,5.42,22563938,3.584256
2010-07-28,5.42,5.45,5.375,5.422,23498332,3.585579
2010-07-29,5.47,5.515,5.42,5.456,25550530,3.608063
2010-07-30,5.456,5.458,5.31,5.415,24167886,3.58095
2010-08-02,5.415,5.659,5.394,5.602,31062216,3.704614
2010-08-03,5.602,5.657,5.567,5.627,24093982,3.721146
2010-08-04,5.65,5.66,5.55,5.624,16785200,3.719162
2010-08-05,5.624,5.679,5.569,5.611,18315598,3.710566
2010-08-06,5.611,5.624,5.471,5.523,23745736,3.65237
2010-08-09,5.563,5.64,5.563,5.629,15418512,3.722469
2010-08-10,5.629,5.655,5.55,5.6,19763708,3.703291
2010-08-11,5.6,5.615,5.433,5.472,34607312,3.618645
2010-08-12,5.472,5.497,5.413,5.463,15470946,3.612693
2010-08-13,5.463,5.536,5.408,5.439,15627752,3.596822
2010-08-16,5.442,5.486,5.38,5.437,11824320,3.595498
2010-08-17,5.437,5.505,5.413,5.493,17995280,3.632532
2010-08-18,5.468,5.535,5.422,5.512,13048550,3.645097
2010-08-19,5.535,5.598,5.421,5.433,25763410,3.592853
2010-08-20,5.433,5.449,5.31,5.394,26110020,3.567063
2010-08-23,5.394,5.481,5.361,5.45,25165584,3.604097
2010-08-24,5.408,5.408,5.33,5.383,27250084,3.559789
2010-08-25,5.383,5.384,5.224,5.282,26578710,3.492997
2010-08-26,5.302,5.385,5.302,5.357,23751258,3.542595
2010-08-27,5.357,5.468,5.312,5.468,26653534,3.615999
2010-08-30,5.468,5.5,5.44,5.495,25188168,3.633853
2010-08-31,5.495,5.565,5.386,5.56,42797232,3.67684
2010-09-01,5.56,5.682,5.525,5.682,37700080,3.757518
2010-09-02,5.682,5.687,5.62,5.66,28070448,3.742969
2010-09-03,5.67,5.729,5.635,5.675,24876480,3.752889
2010-09-06,5.734,5.734,5.681,5.703,11703980,3.771405
2010-09-07,5.69,5.69,5.6,5.629,22307954,3.722469
2010-09-08,5.64,5.715,5.605,5.699,20227390,3.768759
2010-09-09,5.699,5.764,5.624,5.74,24273108,3.795873
2010-09-10,5.697,5.752,5.672,5.75,15200260,3.802487
2010-09-13,5.75,5.797,5.741,5.765,16443235,3.812406
2010-09-14,5.745,5.772,5.667,5.76,25304810,3.8091
2010-09-15,5.76,5.78,5.672,5.732,24298488,3.790583
2010-09-16,5.726,5.726,5.658,5.695,28872036,3.766116
2010-09-17,5.695,5.75,5.54,5.616,70156864,3.713872
2010-09-20,5.616,5.703,5.594,5.69,48409008,3.762808
2010-09-21,5.69,5.77,5.681,5.718,33076826,3.781325
2010-09-22,5.749,5.749,5.586,5.608,26204150,3.708583
2010-09-23,5.674,5.713,5.544,5.594,29343750,3.699322
2010-09-24,5.594,5.73,5.557,5.705,37149676,3.772728
2010-09-27,5.705,5.731,5.613,5.66,30751540,3.742969
2010-09-28,5.66,5.693,5.54,5.661,29002060,3.743631
2010-09-29,5.68,5.7,5.575,5.62,24140310,3.716517
2010-09-30,5.62,5.708,5.565,5.643,39519760,3.731727
2010-10-01,5.643,5.696,5.564,5.601,52456720,3.703952
2010-10-04,5.6,5.6,5.5,5.55,32965784,3.670226
2010-10-05,5.548,5.676,5.514,5.675,29414910,3.752889
2010-10-06,5.675,5.732,5.643,5.666,51086712,3.746937
2010-10-07,5.666,5.749,5.609,5.714,25774236,3.778679
2010-10-08,5.714,5.73,5.649,5.7,23958324,3.769421
2010-10-11,5.699,5.751,5.669,5.739,20448000,3.795212
2010-10-12,5.729,5.729,5.632,5.71,24153610,3.776035
2010-10-13,5.722,5.828,5.722,5.807,31284000,3.840181
2010-10-14,5.807,5.877,5.791,5.81,37764608,3.842164
2010-10-15,5.816,5.879,5.81,5.848,24847680,3.867294
2010-10-18,5.848,5.89,5.781,5.87,28938060,3.881843
2010-10-19,5.87,5.907,5.824,5.861,36098360,3.875893
2010-10-20,5.861,5.872,5.802,5.855,74891880,3.871923
2010-10-21,5.855,5.918,5.8,5.891,36288892,3.89573
2010-10-22,5.891,5.98,5.868,5.953,22207716,3.93673
2010-10-25,5.953,5.985,5.925,5.95,28641540,3.934747
2010-10-26,5.95,5.972,5.902,5.947,28479962,3.932763
2010-10-27,5.947,6.042,5.903,5.979,45604596,3.953924
2010-10-28,5.979,6.07,5.954,6.022,28400248,3.982361
2010-10-29,6.022,6.1,5.982,6.06,45756008,4.007489
2010-11-01,6.06,6.124,5.99,6.01,36796208,3.974425
2010-11-02,6.01,6.099,5.96,6.099,30886980,4.033281
2010-11-03,6.099,6.109,5.978,5.99,45798072,3.961198
2010-11-04,5.99,6.082,5.956,5.988,34808964,3.959877
2010-11-05,5.978,5.991,5.826,5.915,35996480,3.911601
2010-11-08,5.892,5.892,5.832,5.87,37809824,3.881843
2010-11-09,5.87,5.969,5.839,5.936,17659500,3.925489
2010-11-10,5.936,5.978,5.81,5.885,31448728,3.891762
2010-11-11,5.88,5.88,5.782,5.797,26198832,3.833568
2010-11-12,5.797,5.836,5.621,5.825,34652420,3.852083
2010-11-15,5.825,5.899,5.721,5.85,17672496,3.868616
2010-11-16,5.82,5.856,5.753,5.753,20138570,3.80447
2010-11-17,5.753,5.82,5.722,5.809,19061920,3.841503
2010-11-18,5.822,5.897,5.822,5.877,29863588,3.886472
2010-11-19,5.899,5.899,5.81,5.877,26634090,3.886472
2010-11-22,5.877,5.966,5.748,5.76,32429116,3.8091
2010-11-23,5.754,5.754,5.588,5.588,172074048,3.695355
2010-11-24,5.588,5.618,5.48,5.508,182279632,3.642451
2010-11-25,5.48,5.48,5.32,5.479,39677430,3.623273
2010-11-26,5.479,5.48,5.364,5.41,133942040,3.577644
2010-11-29,5.41,5.498,5.328,5.38,95114152,3.557805
2010-11-30,5.403,5.429,5.268,5.295,39653250,3.501594
2010-12-01,5.307,5.512,5.29,5.46,41311530,3.610709
2010-12-02,5.454,5.643,5.402,5.62,79897984,3.716517
2010-12-03,5.45,5.49,5.38,5.482,116897328,3.721949
2010-12-06,5.49,5.5,5.365,5.389,25697170,3.658807
2010-12-07,5.391,5.49,5.38,5.441,32992320,3.694113
2010-12-08,5.39,5.55,5.379,5.51,27381010,3.740959
2010-12-09,5.512,5.569,5.512,5.563,26882990,3.776943
2010-12-10,5.569,5.57,5.486,5.515,43822100,3.744353
2010-12-13,5.562,5.562,5.472,5.495,27277060,3.730775
2010-12-14,5.504,5.53,5.401,5.471,26552270,3.71448
2010-12-15,5.43,5.442,5.349,5.44,38048170,3.693433
2010-12-16,5.427,5.503,5.386,5.503,36555850,3.736206
2010-12-17,5.536,5.577,5.513,5.57,77057700,3.781696
2010-12-20,5.61,5.786,5.597,5.767,70311350,3.915446
2010-12-21,5.83,5.908,5.771,5.896,39885460,4.00303
2010-12-22,5.9,5.964,5.893,5.94,39856230,4.032903
2010-12-23,5.884,5.975,5.881,5.918,37921770,4.017966
2010-12-27,5.858,5.9,5.75,5.839,19724410,3.96433
2010-12-28,5.85,5.889,5.76,5.808,11955070,3.943283
2010-12-29,5.788,5.846,5.758,5.836,12194630,3.962294
2010-12-30,5.848,5.848,5.722,5.768,21520740,3.916125
2011-01-03,5.713,5.824,5.685,5.762,24850695,3.912051
2011-01-04,5.778,5.784,5.694,5.755,47722719,3.9073
2011-01-05,5.742,5.742,5.592,5.67,40836582,3.84959
2011-01-06,5.697,5.709,5.593,5.629,19371624,3.821752
2011-01-07,5.679,5.698,5.48,5.527,42065929,3.752501
2011-01-10,5.481,5.499,5.42,5.452,31621548,3.701581
2011-01-11,5.45,5.493,5.4,5.49,29966058,3.72738
2011-01-12,5.49,5.807,5.485,5.807,60319343,3.942603
2011-01-13,5.78,5.97,5.772,5.949,45072813,4.039013
2011-01-14,5.904,5.99,5.862,5.969,29851621,4.052594
2011-01-17,5.934,6.045,5.934,5.959,24218095,4.045803
2011-01-18,6,6.155,5.964,6.138,38717448,4.167333
2011-01-19,6.155,6.256,6.114,6.17,38592079,4.18906
2011-01-20,6.19,6.308,6.121,6.25,61653690,4.243374
2011-01-21,6.256,6.4,6.256,6.324,55620620,4.293615
2011-01-24,6.301,6.37,6.267,6.33,26095598,4.297688
2011-01-25,6.36,6.369,6.19,6.27,43031867,4.256953
2011-01-26,6.27,6.315,6.192,6.213,46190617,4.218254
2011-01-27,6.165,6.319,6.165,6.27,38939057,4.256953
2011-01-28,6.27,6.34,6.176,6.194,42502119,4.205354
2011-01-31,6.255,6.35,6.138,6.26,43430747,4.250164
2011-02-01,6.274,6.394,6.23,6.363,110208448,4.320096
2011-02-02,6.387,6.44,6.341,6.384,26435433,4.334352
2011-02-03,6.35,6.42,6.237,6.325,41674814,4.294294
2011-02-04,6.27,6.37,6.27,6.309,25736783,4.283432
2011-02-07,6.337,6.416,6.298,6.379,35878683,4.330958
2011-02-08,6.36,6.408,6.34,6.376,14827889,4.32892
2011-02-09,6.341,6.417,6.328,6.376,19515659,4.32892
2011-02-10,6.345,6.354,6.252,6.33,29780130,4.297688
2011-02-11,6.358,6.376,6.254,6.336,19944699,4.301764
2011-02-14,6.346,6.39,6.3,6.311,20042990,4.28479
2011-02-15,6.277,6.399,6.252,6.32,21738241,4.290901
2011-02-16,6.39,6.472,6.36,6.447,36277678,4.377125
2011-02-17,6.431,6.488,6.402,6.474,24619383,4.395456
2011-02-18,6.461,6.495,6.397,6.426,29734473,4.362867
2011-02-21,6.433,6.44,6.272,6.306,24121663,4.281394
2011-02-22,6.25,6.271,6.171,6.22,25825940,4.223006
2011-02-23,6.206,6.22,6.152,6.182,26383904,4.197207
2011-02-24,6.15,6.217,6.114,6.206,29645076,4.213501
2011-02-25,6.213,6.324,6.192,6.288,23822013,4.269174
2011-02-28,6.282,6.37,6.25,6.323,40953405,4.292937
2011-03-01,6.301,6.341,6.187,6.23,38042841,4.229796
2011-03-02,6.212,6.212,6.102,6.13,32125333,4.161902
2011-03-03,6.134,6.18,6.03,6.054,30996232,4.110303
2011-03-04,6.06,6.08,5.954,5.99,32826634,4.06685
2011-03-07,5.98,6.071,5.95,5.968,26156152,4.051913
2011-03-08,6.009,6.01,5.924,5.99,15000656,4.06685
2011-03-09,5.936,5.988,5.89,5.977,64031104,4.058025
2011-03-10,5.9,5.935,5.851,5.916,37154489,4.016609
2011-03-11,5.85,6.025,5.84,5.961,47640723,4.047161
2011-03-14,6.14,6.149,5.952,5.979,131657563,4.059382
2011-03-15,5.88,5.937,5.73,5.9,65016928,4.005746
2011-03-16,5.9,5.99,5.762,5.774,56181254,3.920199
2011-03-17,5.838,5.915,5.761,5.892,51350887,4.000314
2011-03-18,5.9,5.972,5.822,5.826,99631026,3.955504
2011-03-21,5.922,6.028,5.882,6.024,55388853,4.089934
2011-03-22,5.992,6.119,5.992,6.05,30472477,4.107586
2011-03-23,6,6.085,5.995,6.07,58999811,4.121166
2011-03-24,6.025,6.161,6,6.141,30463964,4.16937
2011-03-25,6.136,6.172,6.105,6.105,24940959,4.144928
2011-03-28,6.138,6.166,6.1,6.12,19974473,4.155112
2011-03-29,6.12,6.166,6.1,6.166,26244783,4.186344
2011-03-30,6.182,6.227,6.158,6.175,31656256,4.192454
2011-03-31,6.164,6.22,6.102,6.136,36767032,4.165976
2011-04-01,6.181,6.22,6.11,6.217,38356397,4.220969
2011-04-04,6.201,6.283,6.182,6.254,39842827,4.24609
2011-04-05,6.247,6.275,6.172,6.204,36728369,4.212144
2011-04-06,6.2,6.278,6.162,6.269,47283641,4.256274
2011-04-07,6.263,6.298,6.219,6.256,19223432,4.247447
2011-04-08,6.262,6.3,6.257,6.3,53150745,4.277321
2011-04-11,6.271,6.335,6.26,6.273,98744610,4.25899
2011-04-12,6.249,6.282,6.212,6.245,20501556,4.23998
2011-04-13,6.259,6.286,6.232,6.249,43471163,4.242695
2011-04-14,6.25,6.259,6.122,6.161,28389095,4.182949
2011-04-15,6.22,6.222,6.053,6.097,85359034,4.139496
2011-04-18,6.151,6.151,5.939,6,77237628,4.07364
2011-04-19,5.982,6.035,5.968,6.002,37556187,4.074997
2011-04-20,6.032,6.075,5.988,6.071,30584779,4.121844
2011-04-21,6.12,6.135,6.057,6.111,37940685,4.149001
2011-04-26,6.062,6.18,6.054,6.155,42847914,4.178875
2011-04-27,6.17,6.199,6.125,6.19,36475404,4.202638
2011-04-28,6.22,6.285,6.22,6.272,32677377,4.25831
2011-04-29,6.265,6.285,6.242,6.27,18270311,4.256953
2011-05-02,6.285,6.324,6.276,6.307,15772450,4.282074
2011-05-03,6.3,6.317,6.255,6.3,21814428,4.277321
2011-05-04,6.316,6.327,6.219,6.248,22076177,4.242017
2011-05-05,6.25,6.295,6.188,6.242,26627493,4.237943
2011-05-06,6.219,6.29,6.193,6.272,27320514,4.25831
2011-05-09,6.248,6.258,6.106,6.129,52734458,4.161223
2011-05-10,6.127,6.21,6.095,6.185,37720984,4.199244
2011-05-11,6.196,6.237,6.168,6.233,42535129,4.231833
2011-05-12,6.152,6.185,6.129,6.185,38475134,4.199244
2011-05-13,6.21,6.225,6.087,6.12,29347045,4.155112
2011-05-16,6.062,6.11,6.042,6.103,62486795,4.14357
2011-05-17,6.104,6.173,6.068,6.096,17363119,4.138818
2011-05-18,6.081,6.098,6.024,6.08,28284227,4.127954
2011-05-19,6.098,6.115,6.039,6.102,25311715,4.142891
2011-05-20,6.087,6.144,6.001,6.02,48539483,4.087219
2011-05-23,5.975,5.987,5.911,5.966,29610822,4.050556
2011-05-24,5.956,6.024,5.949,5.968,26394133,4.051913
2011-05-25,5.928,6.048,5.922,6.03,23818359,4.094008
2011-05-26,6.035,6.102,6.002,6.047,25566647,4.10555
2011-05-27,6.09,6.148,6.051,6.057,21459887,4.112339
2011-05-30,6.03,6.08,6.03,6.077,43962936,4.125918
2011-05-31,6.095,6.197,6.095,6.15,45467289,4.175481
2011-06-01,6.161,6.212,6.085,6.1,23522553,4.141534
2011-06-02,6.07,6.146,6.043,6.092,23963248,4.136102
2011-06-03,6.136,6.136,6.008,6.085,31219953,4.13135
2011-06-06,6.06,6.08,6.012,6.039,16702961,4.100118
2011-06-07,6.03,6.094,6.016,6.072,34276799,4.122523
2011-06-08,6.07,6.079,6.026,6.072,33622576,4.122523
2011-06-09,6.076,6.11,6.051,6.102,26498723,4.142891
2011-06-10,6.09,6.098,5.967,5.984,42268561,4.062777
2011-06-13,5.984,6.002,5.942,5.972,109819541,4.054629
2011-06-14,6.002,6.131,6.001,6.112,36647487,4.149682
2011-06-15,6.1,6.134,5.971,5.971,54240292,4.05395
2011-06-16,5.931,5.974,5.908,5.957,30856951,4.044445
2011-06-17,5.93,6.07,5.875,6.028,76726096,4.09265
2011-06-20,6,6.002,5.912,5.985,68883241,4.063455
2011-06-21,6.015,6.105,5.981,6.088,32170017,4.133386
2011-06-22,6.077,6.146,6.075,6.129,20839752,4.161223
2011-06-23,6.098,6.109,5.94,5.962,31730117,4.047838
2011-06-24,5.987,6.029,5.84,5.893,27782986,4.000994
2011-06-27,5.891,5.935,5.847,5.919,34482746,4.018645
2011-06-28,5.925,6.024,5.89,5.981,30913096,4.06074
2011-06-29,6.019,6.166,5.98,6.05,43676042,4.107586
2011-06-30,6.046,6.15,5.99,6.137,86916198,4.166654
2011-07-01,6.15,6.259,6.11,6.223,37793138,4.225043
2011-07-04,6.249,6.249,6.188,6.203,12734647,4.211465
2011-07-05,6.16,6.18,6.093,6.106,43931895,4.145607
2011-07-06,6.09,6.104,6.024,6.04,42707640,4.100798
2011-07-07,6.052,6.15,6.012,6.08,37272707,4.127954
2011-07-08,6.137,6.137,5.927,5.933,35983822,4.028151
