"date","open","high","low","close","volume","adjusted"
2010-01-04,8.696,8.792,8.696,8.79,5543985,4.912729
2010-01-05,8.784,8.85,8.706,8.732,7250280,4.880313
2010-01-06,8.732,8.758,8.666,8.736,7810535,4.882549
2010-01-07,8.734,8.75,8.588,8.608,8249790,4.81101
2010-01-08,8.595,8.67,8.53,8.638,8705100,4.827776
2010-01-11,8.718,8.843,8.686,8.789,8372050,4.91217
2010-01-12,8.758,8.813,8.686,8.711,4768470,4.868576
2010-01-13,8.704,8.896,8.687,8.862,5798695,4.952971
2010-01-14,8.891,8.967,8.848,8.967,12804350,5.011654
2010-01-15,8.986,9.03,8.92,8.951,9270545,5.002712
2010-01-18,8.957,9,8.856,8.99,8878265,5.024509
2010-01-19,8.964,9.267,8.924,9.163,6982390,5.1212
2010-01-20,9.153,9.256,8.984,9.052,6050960,5.059161
2010-01-21,9.134,9.278,8.916,8.942,9117155,4.997681
2010-01-22,8.92,8.948,8.79,8.88,5610245,4.96303
2010-01-25,8.8,8.868,8.76,8.788,3745600,4.911612
2010-01-26,8.776,9.044,8.758,8.948,7219890,5.001035
2010-01-27,8.868,8.873,8.76,8.8,7712620,4.918318
2010-01-28,8.966,9.178,8.9,9.056,12214810,5.061398
2010-01-29,9.073,9.238,9.008,9.127,7973830,5.101079
2010-02-01,9.071,9.284,9.006,9.241,6557770,5.164793
2010-02-02,9.242,9.263,9.12,9.198,7020500,5.14076
2010-02-03,9.139,9.139,8.834,8.853,13595050,4.947941
2010-02-04,8.842,8.897,8.34,8.454,26759640,4.724939
2010-02-05,8.401,8.62,8.24,8.619,22673795,4.817158
2010-02-08,8.594,8.618,8.33,8.499,10880245,4.75009
2010-02-09,8.42,8.63,8.35,8.578,8796600,4.794242
2010-02-10,8.551,8.63,8.471,8.522,8266365,4.762944
2010-02-11,8.6,8.622,8.397,8.445,8721020,4.719909
2010-02-12,8.6,8.628,8.465,8.53,7112575,4.767415
2010-02-15,8.56,8.67,8.556,8.587,6061410,4.799272
2010-02-16,8.628,8.716,8.574,8.657,6370140,4.838396
2010-02-17,8.657,8.72,8.572,8.611,5941080,4.812687
2010-02-18,8.598,8.623,8.41,8.486,11235650,4.742824
2010-02-19,8.444,8.732,8.379,8.732,15817480,4.880313
2010-02-22,8.732,8.778,8.504,8.515,6766330,4.759032
2010-02-23,8.554,8.554,8.382,8.461,6237565,4.728851
2010-02-24,8.517,8.662,8.39,8.597,8395115,4.804862
2010-02-25,8.6,8.71,8.521,8.594,12489840,4.803185
2010-02-26,8.611,8.704,8.542,8.662,7338780,4.84119
2010-03-01,8.728,8.88,8.658,8.862,6878885,4.952971
2010-03-02,8.8,8.926,8.764,8.808,5849435,4.92279
2010-03-03,8.736,8.836,8.704,8.807,5638820,4.92223
2010-03-04,8.78,8.954,8.741,8.876,4617625,4.960795
2010-03-05,8.94,9.101,8.872,9.101,5267200,5.086546
2010-03-08,9.18,9.18,9.031,9.14,4306305,5.108344
2010-03-09,9.14,9.188,9.055,9.144,5822465,5.110579
2010-03-10,9.16,9.302,9.1,9.268,7520960,5.179883
2010-03-11,9.327,9.378,9.272,9.29,7277225,5.192178
2010-03-12,9.29,9.38,9.244,9.32,3807850,5.208946
2010-03-15,9.4,9.442,9.21,9.276,11515925,5.184354
2010-03-16,9.329,9.382,9.126,9.382,8643825,5.243598
2010-03-17,9.61,9.848,9.53,9.708,20646445,5.425801
2010-03-18,9.684,9.749,9.554,9.65,12743090,5.393383
2010-03-19,9.668,9.758,9.611,9.758,7963125,5.453745
2010-03-22,9.758,9.81,9.65,9.8,9878615,5.477219
2010-03-23,9.816,9.816,9.698,9.796,6279795,5.474982
2010-03-24,9.898,9.9,9.662,9.77,8341180,5.460452
2010-03-25,9.813,9.958,9.8,9.947,10444905,5.559375
2010-03-26,9.942,9.978,9.865,9.9,3793870,5.533109
2010-03-29,9.898,9.978,9.834,9.922,6873850,5.545403
2010-03-30,9.922,9.966,9.786,9.8,4544630,5.477219
2010-03-31,9.756,9.821,9.652,9.761,7807990,5.45542
2010-04-01,9.8,9.941,9.72,9.941,4918945,5.556023
2010-04-06,9.941,10.064,9.857,10.064,6448130,5.624768
2010-04-07,9.92,9.92,9.768,9.816,11016015,5.486161
2010-04-08,9.744,9.909,9.7,9.78,9283615,5.46604
2010-04-09,9.8,9.9,9.782,9.894,16586040,5.529754
2010-04-12,9.98,10.02,9.861,9.887,13337830,5.525843
2010-04-13,9.806,9.952,9.806,9.866,6976815,5.514104
2010-04-14,9.85,10.03,9.85,9.987,6131880,5.581733
2010-04-15,9.986,10.08,9.87,9.922,6194480,5.545403
2010-04-16,9.87,9.959,9.706,9.706,10254860,5.424682
2010-04-19,9.706,9.816,9.613,9.758,6351610,5.453745
2010-04-20,9.836,9.892,9.692,9.839,5657665,5.499015
2010-04-21,9.916,9.921,9.683,9.752,15764195,5.450391
2010-04-22,9.72,9.795,9.522,9.662,48059810,5.400089
2010-04-23,9.687,9.898,9.647,9.755,16145645,5.452067
2010-04-26,9.8,9.92,9.662,9.767,15216580,5.458775
2010-04-27,9.767,9.814,9.5,9.514,38534385,5.317372
2010-04-28,9.397,9.531,9.142,9.142,16844340,5.109462
2010-04-29,9.1,9.52,9.02,9.468,18317300,5.291663
2010-04-30,9.468,9.62,9.283,9.326,10840275,5.2123
2010-05-03,9.206,9.422,9.052,9.422,16781495,5.628041
2010-05-04,9.4,9.4,9.056,9.061,13970665,5.412405
2010-05-05,9.007,9.072,8.724,8.762,15322810,5.233803
2010-05-06,8.752,9.018,8.6,8.749,70478330,5.226038
2010-05-07,8.749,8.927,8.409,8.542,25712275,5.102389
2010-05-10,8.969,9.404,8.841,9.317,31263835,5.565321
2010-05-11,9.233,9.608,9.15,9.6,45688485,5.734365
2010-05-12,9.6,9.8,9.43,9.581,13048320,5.723016
2010-05-13,9.696,9.696,9.425,9.555,12369480,5.707486
2010-05-14,9.486,9.521,8.901,8.971,18122680,5.358645
2010-05-17,8.971,9.169,8.84,9.012,11824655,5.383135
2010-05-18,9.126,9.264,9.072,9.105,6798255,5.438687
2010-05-19,9.045,9.16,8.9,8.929,9144575,5.333558
2010-05-20,9.014,9.122,8.6,8.76,20732420,5.232608
2010-05-21,8.672,8.857,8.508,8.786,24154745,5.24814
2010-05-24,8.786,8.963,8.64,8.804,8056475,5.258892
2010-05-25,8.549,8.659,8.452,8.565,12854035,5.116128
2010-05-26,8.687,8.8,8.62,8.706,8017095,5.200353
2010-05-27,8.868,8.96,8.666,8.908,13661910,5.321013
2010-05-28,9.016,9.189,8.949,9.113,10804175,5.443466
2010-05-31,9.113,9.123,9.022,9.083,5978845,5.425546
2010-06-01,9.064,9.15,8.81,9.083,11781880,5.425546
2010-06-02,9.02,9.163,8.86,9.125,11178030,5.450635
2010-06-03,9.342,9.359,9.125,9.154,13644500,5.467957
2010-06-04,9.126,9.178,8.835,8.97,16066940,5.358049
2010-06-07,8.97,9.024,8.699,8.99,11347220,5.369995
2010-06-08,8.99,9.038,8.644,8.775,12622400,5.241569
2010-06-09,8.9,9.476,8.84,9.437,29585590,5.637001
2010-06-10,9.315,9.68,9.26,9.464,20721305,5.653129
2010-06-11,9.58,9.7,9.48,9.661,19997960,5.770802
2010-06-14,9.716,9.788,9.448,9.46,8933860,5.650739
2010-06-15,9.46,9.637,9.42,9.534,16797425,5.694942
2010-06-16,9.522,9.65,9.381,9.52,19511310,5.68658
2010-06-17,9.594,9.692,9.484,9.687,6929810,5.786334
2010-06-18,9.68,9.87,9.6,9.817,12901460,5.863986
2010-06-21,9.817,9.972,9.708,9.79,8102110,5.847858
2010-06-22,9.8,9.98,9.728,9.904,8019055,5.915954
2010-06-23,9.779,9.86,9.645,9.716,6752715,5.803656
2010-06-24,9.782,9.82,9.499,9.539,6089850,5.697927
2010-06-25,9.561,9.76,9.508,9.668,8053335,5.774984
2010-06-28,9.709,9.782,9.57,9.762,6880255,5.831134
2010-06-29,9.64,9.75,9.404,9.44,9181965,5.638793
2010-06-30,9.369,9.454,9.25,9.417,9004380,5.625053
2010-07-01,9.2,9.423,9.184,9.246,9386865,5.522911
2010-07-02,9.22,9.56,9.16,9.39,8186065,5.608928
2010-07-05,9.351,9.545,9.351,9.5,3860715,5.674633
2010-07-06,9.555,9.8,9.52,9.737,6455040,5.8162
2010-07-07,9.737,9.868,9.544,9.75,9820380,5.823966
2010-07-08,9.828,9.898,9.71,9.75,8406710,5.823966
2010-07-09,9.75,9.936,9.661,9.908,6664730,5.918344
2010-07-12,9.911,9.94,9.696,9.766,7589950,5.833522
2010-07-13,9.738,10.072,9.738,10.044,7628240,5.999579
2010-07-14,10.12,10.15,10,10.132,9354515,6.052146
2010-07-15,10.06,10.21,10.028,10.094,10210650,6.029446
2010-07-16,10.094,10.14,9.95,9.996,13851255,5.970909
2010-07-19,9.953,10.12,9.758,9.81,7152585,5.859805
2010-07-20,9.918,9.978,9.774,9.94,7676925,5.937458
2010-07-21,9.989,10.08,9.942,10.02,8505650,5.985245
2010-07-22,10,10.372,9.959,10.32,8133265,6.164444
2010-07-23,10.302,10.7,10.26,10.578,13600720,6.318555
2010-07-26,10.64,10.7,10.436,10.664,5597295,6.369925
2010-07-27,10.756,10.756,10.32,10.4,9580500,6.212229
2010-07-28,10.4,10.48,10.266,10.332,6875370,6.171611
2010-07-29,10.44,10.442,10.22,10.24,6813395,6.116656
2010-07-30,10.218,10.3,10.088,10.15,8046285,6.062897
2010-08-02,10.184,10.27,10.13,10.184,12826840,6.083206
2010-08-03,10.154,10.398,10.154,10.32,7265915,6.164444
2010-08-04,10.4,10.4,10.13,10.19,9573815,6.086789
2010-08-05,10.19,10.268,10.142,10.156,7873520,6.066482
2010-08-06,10.142,10.232,9.953,10.01,8151175,5.979271
2010-08-09,10.184,10.284,10.09,10.186,2893255,6.084401
2010-08-10,10.126,10.164,9.93,10.13,2992335,6.050951
2010-08-11,10.074,10.12,9.969,10.016,5456655,5.982855
2010-08-12,10.03,10.12,9.96,10.058,5908540,6.007943
2010-08-13,10.15,10.158,9.94,10.092,5447750,6.028253
2010-08-16,10.092,10.27,10.066,10.21,5494285,6.098736
2010-08-17,10.208,10.422,10.18,10.38,5726495,6.200283
