"date","open","high","low","close","volume","adjusted"
2010-01-04,18.76,18.905001,18.76,18.83,13665681,10.802853
2010-01-05,18.834999,19.030001,18.834999,18.885,12792600,10.834408
2010-01-06,18.885,18.98,18.799999,18.799999,19931384,10.785642
2010-01-07,18.799999,18.93,18.68,18.809999,12346950,10.79138
2010-01-08,18.91,18.969999,18.745001,18.790001,11372020,10.779904
2010-01-11,18.799999,19.165001,18.799999,18.85,9582063,10.814329
2010-01-12,18.85,18.969999,18.535,18.67,8811927,10.711061
2010-01-13,18.67,18.82,18.535,18.6,13937247,10.670904
2010-01-14,18.73,18.82,18.645,18.700001,5790062,10.728272
2010-01-15,18.700001,18.815001,18.379999,18.379999,11317970,10.544686
2010-01-18,18.379999,18.514999,18.305,18.450001,4284633,10.584847
2010-01-19,18.450001,18.725,18.27,18.67,7563380,10.711061
2010-01-20,18.67,18.700001,17.98,18.094999,10545105,10.381181
2010-01-21,18.094999,18.295,17.684999,17.77,8463417,10.194728
2010-01-22,17.68,17.780001,17.275,17.4,12331230,9.982458
2010-01-25,17.4,17.48,17.155001,17.25,8822119,9.896402
2010-01-26,17.15,17.465,17.075001,17.34,9278662,9.948034
2010-01-27,17.33,17.33,17.01,17.135,9716475,9.830425
2010-01-28,17.135,17.43,16.870001,16.870001,10002854,9.678395
2010-01-29,16.879999,17.34,16.879999,17.145,8978480,9.836163
2010-02-01,17.145,17.200001,16.905001,17.07,8934448,9.793136
2010-02-02,17.1,17.42,16.92,17.4,5918497,9.982458
2010-02-03,17.4,17.450001,17.030001,17.049999,7808159,9.781658
2010-02-04,17.09,17.165001,16.375,16.445,14672580,9.434568
2010-02-05,16.43,16.43,15.805,15.82,15275780,9.076004
2010-02-08,15.83,16.280001,15.82,16.235001,10880450,9.314092
2010-02-09,16.235001,16.370001,16.014999,16.290001,9101998,9.345645
2010-02-10,16.375,16.620001,16.200001,16.32,8510333,9.362857
2010-02-11,16.455,16.58,16.1,16.26,6789545,9.328433
2010-02-12,16.26,16.594999,16.15,16.23,5208062,9.311222
2010-02-15,16.235001,16.48,16.235001,16.33,2834031,9.368593
2010-02-16,16.49,16.605,16.299999,16.549999,5105529,9.494807
2010-02-17,16.66,16.924999,16.66,16.74,8238494,9.603811
2010-02-18,16.74,16.995001,16.66,16.959999,7488921,9.730029
2010-02-19,16.959999,17.15,16.700001,17.09,10441878,9.804606
2010-02-22,17.09,17.424999,16.955,16.995001,10108298,9.750104
2010-02-23,16.995001,17.18,16.605,16.775,7035554,9.623892
2010-02-24,16.775,16.83,16.389999,16.6,6946559,9.523494
2010-02-25,16.6,16.76,16.16,16.360001,9649660,9.385805
2010-02-26,16.360001,16.635,16.355,16.635,7683155,9.543574
2010-03-01,16.885,16.92,16.639999,16.84,5519167,9.661182
2010-03-02,16.84,17.09,16.76,17.040001,7928997,9.775922
2010-03-03,17.040001,17.235001,16.834999,17.15,5986828,9.839029
2010-03-04,17.15,17.235001,16.975,17.16,8067518,9.844767
2010-03-05,17.01,17.745001,17,17.674999,10721519,10.140223
2010-03-08,17.674999,17.940001,17.625,17.889999,7166508,10.263571
