"date","open","high","low","close","volume","adjusted"
2010-01-04,11.2073,11.3914,11.2073,11.3914,48489482,5.618067
2010-01-05,11.401,11.5754,11.401,11.5173,57994625,5.680158
2010-01-06,11.5173,11.6142,11.464,11.5996,30451424,5.72075
2010-01-07,11.5948,11.5948,11.435,11.5463,64545421,5.694462
2010-01-08,11.6142,11.6287,11.4592,11.5851,44579736,5.713595
2010-01-11,11.6045,11.7546,11.6045,11.6045,46360376,5.723164
2010-01-12,11.6045,11.682,11.3865,11.3865,145804796,5.61565
2010-01-13,11.3865,11.4059,11.2122,11.2993,70916665,5.572646
2010-01-14,11.2993,11.4156,11.2025,11.3623,97147781,5.603715
2010-01-15,11.401,11.4979,11.1395,11.1395,67805222,5.493834
2010-01-18,11.1395,11.2267,11.0814,11.1831,129620831,5.515335
2010-01-19,11.1831,11.4301,11.0475,11.3962,228169517,5.620433
2010-01-20,11.3962,11.4301,10.9264,11.0136,213773418,5.431739
2010-01-21,11.0136,11.0862,10.4324,10.5486,323469437,5.202411
2010-01-22,10.5196,10.5196,10.1805,10.5099,253448168,5.183324
2010-01-25,10.5099,10.5583,10.3646,10.3646,251918177,5.111665
2010-01-26,10.3646,10.4324,10.1079,10.4276,284960264,5.142734
2010-01-27,10.258,10.258,9.84636,9.89964,126669237,4.882353
2010-01-28,9.89964,10.229,9.7156,9.7156,214915672,4.791587
2010-01-29,9.75434,10.1127,9.75434,9.97713,226164457,4.92057
2010-02-01,9.86089,10.1031,9.78824,10.0498,108334542,5.018246
2010-02-02,10.0498,10.3452,10.0352,10.2871,346434791,5.136739
2010-02-03,10.2871,10.3937,9.84636,9.88995,268923588,4.938427
2010-02-04,9.88995,10.011,8.93195,8.96005,380700846,4.474092
2010-02-05,8.96005,9.19252,8.42244,8.94552,398677172,4.466838
2010-02-08,8.94552,9.17315,8.71788,9.1189,216839629,4.553413
2010-02-09,9.1189,9.42016,8.96973,9.32329,251604933,4.655471
2010-02-10,9.49377,9.75434,9.49377,9.6691,197639832,4.828148
2010-02-11,9.6691,9.79309,9.23127,9.40175,88256924,4.69465
2010-02-12,9.40175,9.56545,9.16346,9.25355,68726002,4.620647
2010-02-15,9.25355,9.47343,9.23127,9.34557,90481857,4.666596
2010-02-16,9.34557,9.51702,9.25064,9.4589,132547556,4.723187
2010-02-17,9.49571,9.6507,9.49571,9.59936,87186060,4.793324
2010-02-18,9.59936,9.69622,9.47828,9.67685,116989578,4.832017
2010-02-19,9.67685,9.77856,9.41628,9.77371,69692556,4.880383
2010-02-22,9.77371,9.85121,9.54124,9.58095,58363736,4.784131
2010-02-23,9.58095,9.65651,9.10922,9.18768,63151464,4.587756
2010-02-24,9.17218,9.17218,8.79634,9.05691,76682829,4.522458
2010-02-25,9.05691,9.14796,8.86415,8.94939,68741509,4.468769
2010-02-26,8.95908,9.25064,8.95908,9.24967,60020740,4.61871
2010-03-01,9.24967,9.47149,9.11503,9.35526,39722693,4.671436
2010-03-02,9.35526,9.42403,9.17412,9.39594,46884408,4.691748
2010-03-03,9.39594,9.64779,9.23127,9.62454,59239365,4.805897
2010-03-04,9.62454,9.83183,9.52574,9.73013,83682556,4.858622
2010-03-05,9.73013,10.0934,9.7156,10.0691,64315415,5.027883
2010-03-08,10.0691,10.166,10.0691,10.1031,45336567,5.04486
2010-03-09,10.1031,10.137,9.88511,10.0062,50513453,4.996475
2010-03-10,10.0062,10.1515,9.95292,10.1515,45059342,5.069029
2010-03-11,10.1224,10.1224,9.93354,10.0062,39338502,4.996475
2010-03-12,10.0062,10.166,9.9965,10.0401,34498016,5.013403
2010-03-15,10.0256,10.0256,9.86089,9.88995,46906842,4.938427
2010-03-16,9.88995,10.0062,9.79309,9.98197,42528721,4.984375
2010-03-17,10.0207,10.0982,9.94323,10.0643,61706569,5.025486
2010-03-18,10.0352,10.0352,9.82215,9.88995,55649188,4.938427
2010-03-19,9.88995,9.98197,9.70107,9.7156,137169177,4.851367
2010-03-22,9.70591,9.70591,9.34751,9.54996,85152235,4.768657
2010-03-23,9.59064,9.76887,9.5703,9.72528,44434523,4.856199
2010-03-24,9.72528,9.78824,9.3262,9.48312,88225489,4.735281
2010-03-25,9.48312,9.74465,9.37754,9.74465,82304443,4.865871
2010-03-26,9.74465,9.82215,9.63132,9.74465,45784454,4.865871
2010-03-29,9.74465,9.87542,9.66232,9.76403,68090763,4.875549
2010-03-30,9.83183,9.86089,9.59645,9.64876,35897486,4.817991
2010-03-31,9.64876,9.69622,9.37947,9.53155,40948755,4.759464
2010-04-01,9.53155,9.77371,9.51702,9.77371,29404485,4.880383
2010-04-06,9.77371,9.91901,9.62164,9.84636,64653716,4.916659
