Date,Open,High,Low,Close,Adj Close,Volume
2014-06-26,12.472100,12.541300,12.348500,12.472100,8.697052,16239955
2014-06-27,12.521600,12.585800,12.358400,12.432600,8.669507,16802599
2014-06-30,12.437500,12.477100,12.269400,12.378200,8.631574,22732842
2014-07-01,12.457300,12.536400,12.457300,12.526500,8.734986,27228792
2014-07-02,12.531400,12.556200,12.294200,12.412800,8.655700,32820645
2014-07-03,12.393000,12.605600,12.368300,12.561100,8.759112,18976871
2014-07-04,12.575900,12.590800,12.447400,12.482000,8.703954,9429486
2014-07-07,12.467200,12.506700,12.328800,12.358400,8.617766,16891348
2014-07-08,12.358400,12.393000,12.145900,12.205200,8.510939,29673720
2014-07-09,12.249700,12.318900,12.175500,12.284300,8.566093,14123580
2014-07-10,12.328800,12.328800,11.972800,12.051900,8.404037,28367194
2014-07-11,12.007400,12.136000,11.953100,11.987700,8.359269,15914994
2014-07-14,12.017300,12.056900,11.962900,12.032200,8.390301,10089223
2014-07-15,12.022300,12.061800,11.943200,11.972800,8.348880,19490649
2014-07-16,12.037100,12.150800,12.002500,12.140900,8.466099,19311859
2014-07-17,12.061800,12.096400,11.903600,11.962900,8.341975,14191481
2014-07-18,11.874000,11.962900,11.814600,11.962900,8.341975,21852002
2014-07-21,11.967900,11.987700,11.849200,11.888800,8.290306,15036128
2014-07-22,11.908600,12.061800,11.864100,12.037100,8.393718,12066924
2014-07-23,12.017300,12.091500,11.977800,12.017300,8.379911,10311620
2014-07-24,11.977800,12.145900,11.923400,12.136000,8.462681,11959305
2014-07-25,12.111200,12.190300,12.061800,12.111200,8.445389,19664154
2014-07-28,12.096400,12.175500,12.066800,12.101400,8.438557,12274625
2014-07-29,12.140900,12.239800,12.111200,12.180500,8.493713,10229307
2014-07-30,12.195300,12.304000,12.160700,12.215100,8.517841,18829129
2014-07-31,12.140900,12.318900,11.958000,12.071700,8.417845,23547304
2014-08-01,12.091500,12.091500,11.883900,11.938200,8.324753,15332420
2014-08-04,11.972800,11.972800,11.809700,11.854200,8.266178,17777596
2014-08-05,11.666400,11.755300,11.587300,11.651500,8.124830,25796341
2014-08-06,11.577400,11.720700,11.537800,11.666400,8.135221,19563956
2014-08-07,11.646600,11.646600,11.439000,11.498300,8.018003,26625714
2014-08-08,11.419200,11.542800,11.369800,11.458700,7.990386,13964626
2014-08-11,11.562500,11.587300,11.458700,11.518100,8.031808,17532678
2014-08-12,11.518100,11.636700,11.468600,11.537800,8.045546,11408810
2014-08-13,11.616900,11.705900,11.562500,11.626800,8.107606,10150492
2014-08-14,11.612000,11.646600,11.508200,11.621900,8.104187,9653588
2014-08-15,11.646600,11.789900,11.537800,11.587300,8.080063,19563422
2014-08-18,11.705900,11.745400,11.582300,11.681200,8.145541,15705282
2014-08-19,11.745400,11.750400,11.646600,11.691100,8.152444,8965223
2014-08-20,11.696000,11.700900,11.582300,11.666400,8.135221,9655079
2014-08-21,11.666400,11.814600,11.626800,11.775100,8.211020,10768062
2014-08-22,11.819600,11.824500,11.631800,11.735600,8.183476,10833758
2014-08-25,11.814600,11.923400,11.765200,11.893800,8.293792,15604444
2014-08-26,11.849200,11.992600,11.809700,11.992600,8.362688,10021975
2014-08-27,11.962900,12.061800,11.962900,11.997600,8.366173,10293884
2014-08-28,12.017300,12.071700,11.898700,11.953100,8.335143,12595431
2014-08-29,11.982700,11.987700,11.780100,11.933300,8.321335,15253093
2014-09-01,11.962900,11.997600,11.869000,11.923400,8.314431,6452335
2014-09-02,11.962900,11.982700,11.819600,11.883900,8.286887,18948473
2014-09-03,11.938200,12.037100,11.864100,11.982700,8.355783,14373529
2014-09-04,11.958000,12.239800,11.938200,12.205200,8.510939,35963360
2014-09-05,12.210100,12.328800,12.126100,12.249700,8.541967,15626773
2014-09-08,12.264500,12.289200,12.155700,12.229900,8.528161,9351863
2014-09-09,12.195300,12.215100,12.081600,12.106300,8.441971,18184148
2014-09-10,12.091500,12.101400,11.933300,12.022300,8.383397,19855740
2014-09-11,11.864100,11.864100,11.705900,11.785000,8.217923,96018337
2014-09-12,11.814600,11.824500,11.720700,11.785000,8.217923,28232284
2014-09-15,11.765200,11.804800,11.730600,11.775100,8.211020,19302523
2014-09-16,11.814600,11.829500,11.765200,11.804800,8.231730,42017617
2014-09-17,11.883900,11.987700,11.869000,11.948100,8.331656,35824762
2014-09-18,11.992600,12.051900,11.943200,12.017300,8.379911,51741200
2014-09-19,12.200200,12.279300,12.091500,12.126100,8.455779,49048242
2014-09-22,12.086500,12.229900,12.076600,12.150800,8.473002,48563501
2014-09-23,12.121100,12.155700,11.997600,12.086500,8.428165,36040927
2014-09-24,12.101400,12.195300,12.017300,12.175500,8.490228,20285946
2014-09-25,12.121100,12.274400,12.037100,12.111200,8.445389,34002234
